gu,mpi_std,nind,r
26200,0.4023,5,1
26140,0.3332,5,2
26530,0.3203,6,3
26440,0.3147,6,4
26260,0.3113,6,5
26350,0.3075,6,6
26290,0.2988,6,7
26380,0.2951,6,8
26320,0.2924,5,9
26410,0.2912,6,10
26470,0.2878,6,11
26500,0.2799,6,12
26230,0.2695,6,13
26110,0.2649,5,14
26710,0.2621,6,15
26170,0.2451,6,16
