기준년월,행정동코드,행정동명,연령대,평균이용금액,평균이용건수
202512,2614063000,서구 초장동,60대이상,2331741,81
202512,2614064000,서구 충무동,20대,15031440,810
202512,2614064000,서구 충무동,20대미만,915859,65
202512,2614064000,서구 충무동,30대,26919987,1087
202512,2614064000,서구 충무동,40대,42326880,1354
202512,2614064000,서구 충무동,50대,77159745,2158
202512,2614064000,서구 충무동,60대이상,196300661,4735
202512,2614065000,서구 남부민1동,20대,2264057,144
202512,2614065000,서구 남부민1동,20대미만,130990,18
202512,2614065000,서구 남부민1동,30대,3411440,192
202512,2614065000,서구 남부민1동,40대,5350317,255
202512,2614065000,서구 남부민1동,50대,7185734,345
202512,2614065000,서구 남부민1동,60대이상,16468318,606
202512,2614066000,서구 남부민2동,20대,2930415,135
202512,2614066000,서구 남부민2동,20대미만,173320,20
202512,2614066000,서구 남부민2동,30대,6908955,218
202512,2614066000,서구 남부민2동,40대,11543673,351
202512,2614066000,서구 남부민2동,50대,11808116,421
202512,2614066000,서구 남부민2동,60대이상,23462163,706
202512,2614068000,서구 암남동,20대,28970734,1260
202512,2614068000,서구 암남동,20대미만,1748235,105
202512,2614068000,서구 암남동,30대,71351590,1671
202512,2614068000,서구 암남동,40대,112180554,2267
202512,2614068000,서구 암남동,50대,158242114,2842
202512,2614068000,서구 암남동,60대이상,274683259,4047
202512,2617051000,동구 초량1동,20대,22248297,926
202512,2617051000,동구 초량1동,20대미만,1390697,48
202512,2617051000,동구 초량1동,30대,34801121,1055
202512,2617051000,동구 초량1동,40대,44425429,1018
202512,2617051000,동구 초량1동,50대,35496212,1010
202512,2617051000,동구 초량1동,60대이상,53468933,959
202512,2617052000,동구 초량2동,20대,23333057,1214
202512,2617052000,동구 초량2동,20대미만,1644037,153
202512,2617052000,동구 초량2동,30대,34752581,1375
202512,2617052000,동구 초량2동,40대,47512629,1570
202512,2617052000,동구 초량2동,50대,61074959,1985
202512,2617052000,동구 초량2동,60대이상,90595229,2361
202512,2617053000,동구 초량3동,20대,59730914,4189
