연번,신고일시,신고위치 지번주소,위도,경도,위반구분,과태료부과여부,데이터기준일자
4347,2024-05-01 11:10,부산광역시 사하구 괴정동 994-1,35.10108858 ,128.99248392 ,횡단보도,Y,2025-12-01
4348,2024-05-01 20:53,부산광역시 사하구 신평동 443-3,35.09844288 ,128.96284374 ,교차로,Y,2025-12-01
4349,2024-05-01 10:37,부산광역시 사하구 괴정동 1238-225,35.09735671 ,128.99476187 ,소방시설 주변,Y,2025-12-01
4350,2024-05-01 16:21,부산광역시 사하구 감천동 632-4,35.09270605 ,128.99999646 ,교차로,Y,2025-12-01
4351,2024-05-01 19:15,부산광역시 사하구 다대동 1437,35.06870530 ,128.97809382 ,횡단보도,Y,2025-12-01
4352,2024-05-01 11:16,부산광역시 사하구 장림동 1134,35.08122088 ,128.96297749 ,교차로,Y,2025-12-01
4353,2024-05-01 13:12,부산광역시 사하구 장림동 817-7,35.07981526 ,128.96470355 ,교차로,Y,2025-12-01
4354,2024-05-01 11:25,부산광역시 사하구 장림동 813-2,35.08018836 ,128.96460890 ,교차로,Y,2025-12-01
4355,2024-05-01 16:22,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
4356,2024-05-01 18:07,부산광역시 사하구 신평동 9-4,35.09419939 ,128.97536752 ,횡단보도,Y,2025-12-01
4357,2024-05-01 18:28,부산광역시 사하구 괴정동 957-18,35.09738735 ,128.99473421 ,소방시설 주변,Y,2025-12-01
4358,2024-05-01 20:44,부산광역시 사하구 다대동 963,35.05580740 ,128.96913860 ,교차로,Y,2025-12-01
4359,2024-05-01 14:47,부산광역시 사하구 구평동 505,35.08281787 ,128.98593347 ,보도(인도)위,Y,2025-12-01
4360,2024-05-01 22:20,부산광역시 사하구 괴정동 577-24,35.09984477 ,128.98387573 ,보도(인도)위,Y,2025-12-01
4361,2024-05-01 18:57,부산광역시 사하구 다대동 87,35.06607120 ,128.98112999 ,교차로,Y,2025-12-01
4362,2024-05-01 08:39,부산광역시 사하구 다대동 1639,35.05687713 ,128.96498799 ,교차로,Y,2025-12-01
4363,2024-05-01 20:35,부산광역시 사하구 하단동 526-4,35.10657762 ,128.96579632 ,보도(인도)위,Y,2025-12-01
4364,2024-05-01 10:20,부산광역시 사하구 장림동 1151,35.08009498 ,128.97638586 ,교차로,Y,2025-12-01
4365,2024-05-01 06:01,부산광역시 사하구 다대동 963,35.05580740 ,128.96913860 ,교차로,Y,2025-12-01
4366,2024-05-01 10:01,부산광역시 사하구 괴정동 424-10,35.09932096 ,128.99625978 ,교차로,Y,2025-12-01
4367,2024-05-01 10:05,부산광역시 사하구 구평동 505,35.08281787 ,128.98593347 ,보도(인도)위,Y,2025-12-01
4368,2024-05-01 18:51,부산광역시 사하구 괴정동 485-6,35.09681192 ,128.99263772 ,보도(인도)위,Y,2025-12-01
4369,2024-05-01 14:42,부산광역시 사하구 구평동 506-2,35.08252041 ,128.98621294 ,보도(인도)위,Y,2025-12-01
4370,2024-05-01 14:41,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
4371,2024-05-01 15:23,부산광역시 사하구 신평동 664,35.08860016 ,128.95767939 ,횡단보도,Y,2025-12-01
4372,2024-05-01 23:02,부산광역시 사하구 하단동 612,35.10474765 ,128.96836274 ,소방시설 주변,Y,2025-12-01
4373,2024-05-01 14:18,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,횡단보도,Y,2025-12-01
4374,2024-05-02 18:33,부산광역시 사하구 다대동 1611,35.06271073 ,128.96029413 ,횡단보도,Y,2025-12-01
4375,2024-05-02 11:04,부산광역시 사하구 괴정동 1246,35.10089286 ,128.99291043 ,횡단보도,Y,2025-12-01
4376,2024-05-02 14:28,부산광역시 사하구 장림동 328-14,35.08115353 ,128.96767635 ,버스정류장 주변,Y,2025-12-01
4377,2024-05-02 13:33,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4378,2024-05-02 06:26,부산광역시 사하구 다대동 946-10,35.05742543 ,128.96759893 ,교차로,Y,2025-12-01
4379,2024-05-02 21:58,부산광역시 사하구 장림동 244-8,35.07918887 ,128.97870409 ,보도(인도)위,Y,2025-12-01
4380,2024-05-02 20:50,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
4381,2024-05-02 18:59,부산광역시 사하구 괴정동 240-2,35.10502069 ,128.99847764 ,교차로,Y,2025-12-01
4382,2024-05-02 18:35,부산광역시 사하구 다대동 1611,35.06271073 ,128.96029413 ,횡단보도,Y,2025-12-01
4383,2024-05-02 14:12,부산광역시 사하구 장림동 996,35.07514080 ,128.97613075 ,어린이 보호구역,Y,2025-12-01
4384,2024-05-02 15:22,부산광역시 사하구 다대동 1552-10,35.04843588 ,128.96678052 ,보도(인도)위,Y,2025-12-01
4385,2024-05-02 21:09,부산광역시 사하구 괴정동 409-79,35.10038102 ,128.99745751 ,교차로,Y,2025-12-01
4386,2024-05-02 12:47,부산광역시 사하구 장림동 1141,35.08302535 ,128.96747881 ,보도(인도)위,Y,2025-12-01
4387,2024-05-02 10:49,부산광역시 사하구 다대동 941-9,35.05757689 ,128.96940501 ,교차로,Y,2025-12-01
4388,2024-05-02 19:17,부산광역시 사하구 하단동 884,35.10776731 ,128.95916109 ,보도(인도)위,Y,2025-12-01
4389,2024-05-02 22:40,부산광역시 사하구 장림동 74-1,35.07878400 ,128.97962372 ,횡단보도,Y,2025-12-01
4390,2024-05-02 21:31,부산광역시 사하구 하단동 591,35.10533645 ,128.96109403 ,횡단보도,Y,2025-12-01
4391,2024-05-02 13:21,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4392,2024-05-02 18:11,부산광역시 사하구 신평동 544-4,35.08987146 ,128.97443686 ,보도(인도)위,Y,2025-12-01
4393,2024-05-02 07:58,부산광역시 사하구 다대동 49,35.06529965 ,128.97967087 ,횡단보도,Y,2025-12-01
4394,2024-05-02 21:31,부산광역시 사하구 하단동 591,35.10533645 ,128.96109403 ,횡단보도,Y,2025-12-01
4395,2024-05-02 19:00,부산광역시 사하구 당리동 435-1,35.10163817 ,128.98120629 ,교차로,Y,2025-12-01
4396,2024-05-02 21:05,부산광역시 사하구 다대동 962,35.05777412 ,128.96923581 ,교차로,Y,2025-12-01
4397,2024-05-02 19:23,부산광역시 사하구 당리동 333,35.10078072 ,128.97673462 ,횡단보도,Y,2025-12-01
4398,2024-05-02 20:00,부산광역시 사하구 다대동 948-1,35.05640466 ,128.96659278 ,교차로,Y,2025-12-01
4399,2024-05-02 13:58,부산광역시 사하구 다대동 1553,35.05366279 ,128.99140920 ,보도(인도)위,Y,2025-12-01
4400,2024-05-02 12:45,부산광역시 사하구 다대동 1548-25,35.04904759 ,128.96431820 ,보도(인도)위,Y,2025-12-01
4401,2024-05-02 11:09,부산광역시 사하구 괴정동 1238-556,35.10485300 ,128.99863485 ,횡단보도,Y,2025-12-01
4402,2024-05-02 13:43,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4403,2024-05-02 13:59,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4404,2024-05-02 13:47,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4405,2024-05-02 14:37,부산광역시 사하구 다대동 1548-25,35.04904759 ,128.96431820 ,교차로,Y,2025-12-01
4406,2024-05-02 21:09,부산광역시 사하구 다대동 1548-25,35.04904759 ,128.96431820 ,교차로,Y,2025-12-01
4407,2024-05-02 11:51,부산광역시 사하구 당리동 334,35.10259930 ,128.97447375 ,버스정류장 주변,Y,2025-12-01
4408,2024-05-02 17:29,부산광역시 사하구 하단동 516,35.10831907 ,128.96617417 ,교차로,Y,2025-12-01
4409,2024-05-02 14:10,부산광역시 사하구 장림동 341-12,35.08057618 ,128.97632150 ,버스정류장 주변,Y,2025-12-01
4410,2024-05-02 15:19,부산광역시 사하구 다대동 962,35.05777412 ,128.96923581 ,교차로,Y,2025-12-01
4411,2024-05-02 08:59,부산광역시 사하구 감천동 387-23,35.08251710 ,129.00582118 ,버스정류장 주변,Y,2025-12-01
4412,2024-05-02 10:49,부산광역시 사하구 다대동 1595,35.06036231 ,128.98402052 ,횡단보도,Y,2025-12-01
4413,2024-05-02 11:09,부산광역시 사하구 다대동 962,35.05777412 ,128.96923581 ,횡단보도,Y,2025-12-01
4414,2024-05-02 13:39,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4415,2024-05-02 07:53,부산광역시 사하구 당리동 333,35.10078072 ,128.97673462 ,버스정류장 주변,Y,2025-12-01
4416,2024-05-02 13:37,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4417,2024-05-02 09:10,부산광역시 사하구 구평동 495-17,35.05058679 ,128.99975897 ,교차로,Y,2025-12-01
4418,2024-05-02 08:02,부산광역시 사하구 괴정동 382-14,35.10039013 ,128.99943525 ,횡단보도,Y,2025-12-01
4419,2024-05-02 21:58,부산광역시 사하구 당리동 17-6,35.10954066 ,128.98005890 ,교차로,Y,2025-12-01
4420,2024-05-02 12:04,부산광역시 사하구 감천동 387-38,35.08218416 ,129.00611242 ,버스정류장 주변,Y,2025-12-01
4421,2024-05-02 10:50,부산광역시 사하구 다대동 1595,35.06036231 ,128.98402052 ,횡단보도,Y,2025-12-01
4422,2024-05-02 15:40,부산광역시 사하구 괴정동 1246,35.10089286 ,128.99291043 ,횡단보도,Y,2025-12-01
4423,2024-05-02 10:22,부산광역시 사하구 하단동 1176,35.10163489 ,128.95945731 ,교차로,Y,2025-12-01
4424,2024-05-02 13:34,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4425,2024-05-02 11:15,부산광역시 사하구 감천동 387-50,35.08323028 ,129.00656824 ,버스정류장 주변,Y,2025-12-01
4426,2024-05-02 16:34,부산광역시 사하구 감천동 759-6,35.08560612 ,128.99799940 ,버스정류장 주변,Y,2025-12-01
4427,2024-05-02 18:14,부산광역시 사하구 감천동 759-8,35.08667617 ,129.00072124 ,버스정류장 주변,Y,2025-12-01
4428,2024-05-02 20:23,부산광역시 사하구 장림동 601-2,35.07734092 ,128.97285190 ,횡단보도,Y,2025-12-01
4429,2024-05-02 18:36,부산광역시 사하구 다대동 1624,35.05663364 ,128.96564850 ,횡단보도,Y,2025-12-01
4430,2024-05-02 17:18,부산광역시 사하구 다대동 1638,35.05980733 ,128.96537354 ,횡단보도,Y,2025-12-01
4431,2024-05-02 18:25,부산광역시 사하구 다대동 1639,35.05687713 ,128.96498799 ,교차로,Y,2025-12-01
4432,2024-05-02 17:23,부산광역시 사하구 다대동 1638,35.05980733 ,128.96537354 ,교차로,Y,2025-12-01
4433,2024-05-02 17:20,부산광역시 사하구 다대동 1636,35.05726294 ,128.96175315 ,교차로,Y,2025-12-01
4434,2024-05-03 13:27,부산광역시 사하구 다대동 1-20,35.05821357 ,128.98859467 ,보도(인도)위,Y,2025-12-01
4435,2024-05-03 07:01,부산광역시 사하구 감천동 702-1,35.08947108 ,128.99880537 ,보도(인도)위,Y,2025-12-01
4436,2024-05-03 18:47,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,횡단보도,Y,2025-12-01
4437,2024-05-03 12:38,부산광역시 사하구 하단동 523,35.10789334 ,128.96294504 ,교차로,Y,2025-12-01
4438,2024-05-03 21:46,부산광역시 사하구 괴정동 1241-5,35.10366333 ,129.00155245 ,보도(인도)위,Y,2025-12-01
4439,2024-05-03 10:05,부산광역시 사하구 신평동 583,35.08824164 ,128.97763882 ,보도(인도)위,Y,2025-12-01
4440,2024-05-03 07:05,부산광역시 사하구 신평동 7-13,35.09404878 ,128.97498133 ,보도(인도)위,Y,2025-12-01
4441,2024-05-03 08:30,부산광역시 사하구 구평동 503,35.07997219 ,128.98539450 ,횡단보도,Y,2025-12-01
4442,2024-05-03 07:10,부산광역시 사하구 신평동 7-13,35.09404878 ,128.97498133 ,보도(인도)위,Y,2025-12-01
4443,2024-05-03 19:39,부산광역시 사하구 감천동 13-1868,35.09552201 ,129.01067532 ,횡단보도,Y,2025-12-01
4444,2024-05-03 20:20,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
4445,2024-05-03 13:27,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4446,2024-05-03 19:03,부산광역시 사하구 장림동 1064,35.08364681 ,128.97816056 ,보도(인도)위,Y,2025-12-01
4447,2024-05-03 20:55,부산광역시 사하구 당리동 544-1,35.10742017 ,128.97628876 ,보도(인도)위,Y,2025-12-01
4448,2024-05-03 19:23,부산광역시 사하구 괴정동 260-989,35.10225131 ,128.99637566 ,횡단보도,Y,2025-12-01
4449,2024-05-03 08:07,부산광역시 사하구 감천동 12-200,35.09476903 ,129.01001518 ,횡단보도,Y,2025-12-01
4450,2024-05-03 18:56,부산광역시 사하구 신평동 664,35.08860016 ,128.95767939 ,교차로,Y,2025-12-01
4451,2024-05-03 16:24,부산광역시 사하구 다대동 681-2,35.05478717 ,128.97137908 ,보도(인도)위,Y,2025-12-01
4452,2024-05-03 19:28,부산광역시 사하구 다대동 962,35.05777412 ,128.96923581 ,교차로,Y,2025-12-01
4453,2024-05-03 22:30,부산광역시 사하구 괴정동 1238-565,35.10386224 ,128.99878293 ,횡단보도,Y,2025-12-01
4454,2024-05-03 21:43,부산광역시 사하구 괴정동 327-3,35.10340772 ,129.00166868 ,보도(인도)위,Y,2025-12-01
4455,2024-05-03 09:54,부산광역시 사하구 괴정동 409-79,35.10038102 ,128.99745751 ,교차로,Y,2025-12-01
4456,2024-05-03 07:12,부산광역시 사하구 신평동 7-13,35.09404878 ,128.97498133 ,보도(인도)위,Y,2025-12-01
4457,2024-05-03 16:06,부산광역시 사하구 장림동 1151,35.08009498 ,128.97638586 ,버스정류장 주변,Y,2025-12-01
4458,2024-05-03 03:31,부산광역시 사하구 하단동 870-199,35.10045001 ,128.96076082 ,횡단보도,Y,2025-12-01
4459,2024-05-03 13:39,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4460,2024-05-03 15:52,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4461,2024-05-03 17:35,부산광역시 사하구 장림동 402-4,35.07376583 ,128.97377530 ,교차로,Y,2025-12-01
4462,2024-05-03 13:35,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4463,2024-05-03 13:41,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4464,2024-05-03 13:25,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4465,2024-05-03 15:41,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4466,2024-05-03 13:18,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4467,2024-05-03 13:32,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4468,2024-05-03 13:24,부산광역시 사하구 다대동 1-20,35.05821357 ,128.98859467 ,보도(인도)위,Y,2025-12-01
4469,2024-05-03 11:57,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
4470,2024-05-03 08:18,부산광역시 사하구 신평동 294-7,35.09122874 ,128.97007806 ,보도(인도)위,Y,2025-12-01
4471,2024-05-03 15:13,부산광역시 사하구 다대동 681-3,35.05511131 ,128.97159094 ,보도(인도)위,Y,2025-12-01
4472,2024-05-03 09:34,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
4473,2024-05-03 06:54,부산광역시 사하구 신평동 664,35.08860016 ,128.95767939 ,횡단보도,Y,2025-12-01
4474,2024-05-03 20:50,부산광역시 사하구 당리동 544-1,35.10742017 ,128.97628876 ,보도(인도)위,Y,2025-12-01
4475,2024-05-03 22:33,부산광역시 사하구 괴정동 1275,35.10009842 ,128.99471025 ,교차로,Y,2025-12-01
4476,2024-05-03 13:08,부산광역시 사하구 장림동 996,35.07514080 ,128.97613075 ,횡단보도,Y,2025-12-01
4477,2024-05-03 17:21,부산광역시 사하구 당리동 326-25,35.10232166 ,128.97491533 ,횡단보도,Y,2025-12-01
4478,2024-05-03 20:37,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,소방시설 주변,Y,2025-12-01
4479,2024-05-03 08:15,부산광역시 사하구 하단동 1193,35.11009118 ,128.95893915 ,보도(인도)위,Y,2025-12-01
4480,2024-05-03 20:52,부산광역시 사하구 당리동 115,35.10640862 ,128.97538560 ,보도(인도)위,Y,2025-12-01
4481,2024-05-03 07:08,부산광역시 사하구 신평동 9-1,35.09447772 ,128.97574068 ,횡단보도,Y,2025-12-01
4482,2024-05-03 08:12,부산광역시 사하구 하단동 888-11,35.10721524 ,128.95889356 ,보도(인도)위,Y,2025-12-01
4483,2024-05-03 09:25,부산광역시 사하구 감천동 387-50,35.08323028 ,129.00656824 ,버스정류장 주변,Y,2025-12-01
4484,2024-05-03 08:55,부산광역시 사하구 구평동 472-9,35.05441434 ,128.99503537 ,버스정류장 주변,Y,2025-12-01
4485,2024-05-03 11:08,부산광역시 사하구 괴정동 1246,35.10089286 ,128.99291043 ,버스정류장 주변,Y,2025-12-01
4486,2024-05-03 09:05,부산광역시 사하구 신평동 526,35.08697141 ,128.97222441 ,횡단보도,Y,2025-12-01
4487,2024-05-03 19:32,부산광역시 사하구 감천동 13-1868,35.09552201 ,129.01067532 ,횡단보도,Y,2025-12-01
4488,2024-05-03 13:57,부산광역시 사하구 장림동 328-9,35.08099010 ,128.96820084 ,버스정류장 주변,Y,2025-12-01
4489,2024-05-03 18:58,부산광역시 사하구 신평동 664,35.08860016 ,128.95767939 ,횡단보도,Y,2025-12-01
4490,2024-05-03 13:12,부산광역시 사하구 다대동 1552-9,35.04856746 ,128.96634117 ,보도(인도)위,Y,2025-12-01
4491,2024-05-03 20:40,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,소방시설 주변,Y,2025-12-01
4492,2024-05-03 13:33,부산광역시 사하구 장림동 182,35.08154830 ,128.97619388 ,어린이 보호구역,Y,2025-12-01
4493,2024-05-03 12:01,부산광역시 사하구 감천동 710-2,35.08970730 ,128.99928456 ,교차로,Y,2025-12-01
4494,2024-05-02 18:38,부산광역시 사하구 다대동 1615-1,35.06378180 ,128.96040579 ,횡단보도,Y,2025-12-01
4495,2024-04-22 15:02,부산광역시 사하구 당리동315,35.10516062 ,128.97397210 ,어린이 보호구역,Y,2025-12-01
4496,2024-05-03 23:37,부산광역시 사하구 다대동 945,35.05712711 ,128.96855009 ,교차로,Y,2025-12-01
4497,2024-05-03 23:21,부산광역시 사하구 신평동 33-168,35.09062654 ,128.97794859 ,교차로,Y,2025-12-01
4498,2024-05-03 23:08,부산광역시 사하구 감천동 803-42,35.08815372 ,128.99602744 ,교차로,Y,2025-12-01
4499,2024-05-03 13:21,부산광역시 사하구 하단동 606,35.10350787 ,128.96248445 ,교차로,Y,2025-12-01
4500,2024-05-03 23:38,부산광역시 사하구 하단동 612,35.10474765 ,128.96836274 ,소방시설 주변,Y,2025-12-01
4501,2024-05-03 23:46,부산광역시 사하구 괴정동 308-1,35.10309379 ,128.99948813 ,보도(인도)위,Y,2025-12-01
4502,2024-05-03 12:41,부산광역시 사하구 다대동 1638,35.05980733 ,128.96537354 ,교차로,Y,2025-12-01
4503,2024-05-03 23:52,부산광역시 사하구 괴정동 1246,35.10089286 ,128.99291043 ,횡단보도,Y,2025-12-01
4504,2024-05-04 22:12,부산광역시 사하구 괴정동 199-6,35.10573807 ,129.00427597 ,횡단보도,Y,2025-12-01
4505,2024-05-04 17:38,부산광역시 사하구 하단동 884,35.10776731 ,128.95916109 ,소방시설 주변,Y,2025-12-01
4506,2024-05-04 10:56,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,소방시설 주변,Y,2025-12-01
4507,2024-05-04 23:04,부산광역시 사하구 하단동 70-1,35.10287189 ,128.97007260 ,보도(인도)위,Y,2025-12-01
4508,2024-05-04 08:55,부산광역시 사하구 신평동 493,35.08931322 ,128.96857222 ,보도(인도)위,Y,2025-12-01
4509,2024-05-04 14:37,부산광역시 사하구 당리동 544-1,35.10742017 ,128.97628876 ,보도(인도)위,Y,2025-12-01
4510,2024-05-04 14:54,부산광역시 사하구 구평동 505,35.08281787 ,128.98593347 ,보도(인도)위,Y,2025-12-01
4511,2024-05-04 22:44,부산광역시 사하구 하단동 884,35.10776731 ,128.95916109 ,보도(인도)위,Y,2025-12-01
4512,2024-05-03 17:16,부산광역시 사하구 다대동 1550-3,35.05162821 ,128.96690058 ,보도(인도)위,Y,2025-12-01
4513,2024-05-03 23:05,부산광역시 사하구 감천동 803-42,35.08815372 ,128.99602744 ,교차로,Y,2025-12-01
4514,2024-05-03 23:55,부산광역시 사하구 당리동 333,35.10078072 ,128.97673462 ,횡단보도,Y,2025-12-01
4515,2024-05-03 12:41,부산광역시 사하구 다대동 1638,35.05980733 ,128.96537354 ,교차로,Y,2025-12-01
4516,2024-05-04 09:13,부산광역시 사하구 다대동 287-3,35.06073946 ,128.97430873 ,보도(인도)위,Y,2025-12-01
4517,2024-05-04 11:11,부산광역시 사하구 신평동 659-1,35.08507975 ,128.95238210 ,횡단보도,Y,2025-12-01
4518,2024-05-04 23:25,부산광역시 사하구 신평동 583,35.08824164 ,128.97763882 ,횡단보도,Y,2025-12-01
4519,2024-05-04 08:51,부산광역시 사하구 신평동 583,35.08824164 ,128.97763882 ,보도(인도)위,Y,2025-12-01
4520,2024-05-04 18:19,부산광역시 사하구 장림동 599-8,35.07690427 ,128.97264307 ,횡단보도,Y,2025-12-01
4521,2024-05-04 08:59,부산광역시 사하구 다대동 681-3,35.05511131 ,128.97159094 ,보도(인도)위,Y,2025-12-01
4522,2024-05-04 17:39,부산광역시 사하구 하단동 889-11,35.10649012 ,128.95930740 ,소방시설 주변,Y,2025-12-01
4523,2024-05-04 00:14,부산광역시 사하구 감천동 10-154,35.09641780 ,129.00936432 ,소방시설 주변,Y,2025-12-01
4524,2024-05-04 17:39,부산광역시 사하구 하단동 889-11,35.10649012 ,128.95930740 ,소방시설 주변,Y,2025-12-01
4525,2024-05-04 15:56,부산광역시 사하구 장림동 329,35.08136289 ,128.96718673 ,횡단보도,Y,2025-12-01
4526,2024-05-04 08:55,부산광역시 사하구 다대동 120-64,35.05789919 ,128.97908983 ,횡단보도,Y,2025-12-01
4527,2024-05-04 13:56,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
4528,2024-05-04 08:38,부산광역시 사하구 다대동 948-1,35.05640466 ,128.96659278 ,교차로,Y,2025-12-01
4529,2024-05-04 11:26,부산광역시 사하구 하단동 520-10,35.10849604 ,128.96121493 ,교차로,Y,2025-12-01
4530,2024-05-04 08:55,부산광역시 사하구 다대동 120-64,35.05789919 ,128.97908983 ,횡단보도,Y,2025-12-01
4531,2024-05-04 20:56,부산광역시 사하구 구평동 505,35.08281787 ,128.98593347 ,보도(인도)위,Y,2025-12-01
4532,2024-05-04 17:36,부산광역시 사하구 하단동 870-27,35.10697801 ,128.96059535 ,소방시설 주변,Y,2025-12-01
4533,2024-05-04 09:49,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
4534,2024-05-04 22:04,부산광역시 사하구 다대동 1548-25,35.04904759 ,128.96431820 ,교차로,Y,2025-12-01
4535,2024-05-04 15:02,부산광역시 사하구 괴정동 1279,35.10498007 ,129.00005532 ,버스정류장 주변,Y,2025-12-01
4536,2024-05-04 19:10,부산광역시 사하구 다대동 1548-25,35.04904759 ,128.96431820 ,교차로,Y,2025-12-01
4537,2024-05-04 21:02,부산광역시 사하구 신평동 33-168,35.09062654 ,128.97794859 ,횡단보도,Y,2025-12-01
4538,2024-05-04 07:17,부산광역시 사하구 장림동 60-44,35.07852575 ,128.98037236 ,횡단보도,Y,2025-12-01
4539,2024-05-04 13:21,부산광역시 사하구 하단동 872-1,35.11323411 ,128.96502007 ,횡단보도,Y,2025-12-01
4540,2024-05-04 12:50,부산광역시 사하구 감천동 826-8,35.09154567 ,128.99370149 ,보도(인도)위,Y,2025-12-01
4541,2024-05-04 19:53,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
4542,2024-05-04 05:43,부산광역시 사하구 다대동 1-20,35.05821357 ,128.98859467 ,보도(인도)위,Y,2025-12-01
4543,2024-05-04 23:16,부산광역시 사하구 당리동 333,35.10078072 ,128.97673462 ,소방시설 주변,Y,2025-12-01
4544,2024-05-04 10:52,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,소방시설 주변,Y,2025-12-01
4545,2024-05-04 23:20,부산광역시 사하구 괴정동 1238-25,35.09993242 ,128.97730419 ,소방시설 주변,Y,2025-12-01
4546,2024-05-04 09:36,부산광역시 사하구 다대동 963,35.05580740 ,128.96913860 ,교차로,Y,2025-12-01
4547,2024-05-04 12:42,부산광역시 사하구 장림동 328-15,35.08172999 ,128.96683947 ,횡단보도,Y,2025-12-01
4548,2024-05-04 13:43,부산광역시 사하구 하단동 532,35.10806733 ,128.96803079 ,소방시설 주변,Y,2025-12-01
4549,2024-05-04 08:15,부산광역시 사하구 괴정동 190-24,35.10638692 ,129.00538717 ,교차로,Y,2025-12-01
4550,2024-05-04 12:45,부산광역시 사하구 하단동 1171,35.10213917 ,128.95824878 ,횡단보도,Y,2025-12-01
4551,2024-05-04 20:53,부산광역시 사하구 괴정동 660-2,35.09808393 ,128.98652852 ,횡단보도,Y,2025-12-01
4552,2024-05-04 07:04,부산광역시 사하구 다대동 1595,35.06036231 ,128.98402052 ,횡단보도,Y,2025-12-01
4553,2024-05-04 14:00,부산광역시 사하구 당리동 16-6,35.10875018 ,128.98017269 ,보도(인도)위,Y,2025-12-01
4554,2024-05-04 03:51,부산광역시 사하구 신평동 146-21,35.09322476 ,128.97571527 ,횡단보도,Y,2025-12-01
4555,2024-05-04 21:24,부산광역시 사하구 구평동 503,35.07997219 ,128.98539450 ,횡단보도,Y,2025-12-01
4556,2024-05-04 16:02,부산광역시 사하구 다대동 1595,35.06036231 ,128.98402052 ,횡단보도,Y,2025-12-01
4557,2024-05-04 15:57,부산광역시 사하구 다대동 1582-7,35.06006281 ,128.98168031 ,횡단보도,Y,2025-12-01
4558,2024-05-04 18:06,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,보도(인도)위,Y,2025-12-01
4559,2024-05-04 09:13,부산광역시 사하구 다대동 1638,35.05980733 ,128.96537354 ,교차로,Y,2025-12-01
4560,2024-05-04 22:05,부산광역시 사하구 다대동 1548-25,35.04904759 ,128.96431820 ,횡단보도,Y,2025-12-01
4561,2024-05-04 23:24,부산광역시 사하구 하단동 612,35.10474765 ,128.96836274 ,교차로,Y,2025-12-01
4562,2024-05-04 16:25,부산광역시 사하구 다대동 1575-1,35.06086028 ,128.98141517 ,횡단보도,Y,2025-12-01
4563,2024-05-04 22:20,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,횡단보도,Y,2025-12-01
4564,2024-05-04 22:23,부산광역시 사하구 다대동 1548-25,35.04904759 ,128.96431820 ,교차로,Y,2025-12-01
