연번,신고일시,신고위치 지번주소,위도,경도,위반구분,과태료부과여부,데이터기준일자
51,2024-03-30 21:20,부산광역시 사하구 다대동 798-6,35.05561691 ,128.97202076 ,횡단보도,Y,2025-12-01
52,2024-04-09 18:32,부산광역시 사하구 다대동 1639,35.05687713 ,128.96498799 ,교차로,Y,2025-12-01
53,2024-04-14 07:59,부산광역시 사하구 다대동 1639,35.05687713 ,128.96498799 ,교차로,Y,2025-12-01
54,2024-02-29 20:42,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
55,2024-02-26 17:13,부산광역시 사하구 다대동 1667,35.06201705 ,128.97249377 ,횡단보도,Y,2025-12-01
56,2024-02-13 06:54,부산광역시 사하구 괴정동 764-98,35.10064065 ,128.98524312 ,횡단보도,Y,2025-12-01
57,2024-05-20 08:50,부산광역시 사하구 괴정동 971-6,35.10008183 ,128.99301207 ,보도(인도)위,Y,2025-12-01
58,2024-04-21 15:54,부산광역시 사하구 괴정동 213-9,35.10500320 ,128.99899722 ,보도(인도)위,Y,2025-12-01
59,2024-05-09 12:39,부산광역시 사하구 하단동 865-7,35.10328673 ,128.97066411 ,횡단보도,Y,2025-12-01
60,2024-06-21 16:28,부산광역시 사하구 다대동 680-3,35.05507973 ,128.97169813 ,보도(인도)위,Y,2025-12-01
61,2024-08-01 11:34,부산광역시 사하구 하단동 516,35.10831907 ,128.96617417 ,교차로,Y,2025-12-01
62,2024-08-01 13:19,부산광역시 사하구 장림동 328-15,35.08172999 ,128.96683947 ,횡단보도,Y,2025-12-01
63,2024-08-01 20:31,부산광역시 사하구 하단동 870-27,35.10697801 ,128.96059535 ,교차로,Y,2025-12-01
64,2024-08-01 21:55,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
65,2024-08-01 09:50,부산광역시 사하구 장림동 329,35.08136289 ,128.96718673 ,버스정류장 주변,Y,2025-12-01
66,2024-08-01 07:55,부산광역시 사하구 다대동 1639,35.05687713 ,128.96498799 ,교차로,Y,2025-12-01
67,2024-08-01 12:28,부산광역시 사하구 다대동 682,35.05495523 ,128.97125238 ,보도(인도)위,Y,2025-12-01
68,2024-08-01 21:02,부산광역시 사하구 하단동 523,35.10789334 ,128.96294504 ,교차로,Y,2025-12-01
69,2024-08-01 18:00,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,교차로,Y,2025-12-01
70,2024-08-01 20:30,부산광역시 사하구 하단동 608-1,35.10357777 ,128.96316547 ,보도(인도)위,Y,2025-12-01
71,2024-08-01 15:15,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,교차로,Y,2025-12-01
72,2024-08-01 17:44,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,교차로,Y,2025-12-01
73,2024-08-01 11:06,부산광역시 사하구 구평동 472-9,35.05441434 ,128.99503537 ,버스정류장 주변,Y,2025-12-01
74,2024-08-01 18:10,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,교차로,Y,2025-12-01
75,2024-08-01 18:24,부산광역시 사하구 괴정동 994-1,35.10108858 ,128.99248392 ,횡단보도,Y,2025-12-01
76,2024-08-01 19:10,부산광역시 사하구 신평동 168-7,35.09430406 ,128.97233228 ,어린이 보호구역,Y,2025-12-01
77,2024-08-01 18:28,부산광역시 사하구 다대동 962,35.05777412 ,128.96923581 ,횡단보도,Y,2025-12-01
78,2024-08-01 20:26,부산광역시 사하구 하단동 606,35.10350787 ,128.96248445 ,횡단보도,Y,2025-12-01
79,2024-08-01 19:24,부산광역시 사하구 하단동 884,35.10776731 ,128.95916109 ,횡단보도,Y,2025-12-01
80,2024-08-01 09:01,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,교차로,Y,2025-12-01
81,2024-08-01 21:47,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
82,2024-08-01 13:54,부산광역시 사하구 괴정동 491-9,35.09498381 ,128.99205486 ,횡단보도,Y,2025-12-01
83,2024-08-01 06:51,부산광역시 사하구 장림동 7-7,35.07650508 ,128.98032988 ,횡단보도,Y,2025-12-01
84,2024-08-01 20:57,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,교차로,Y,2025-12-01
85,2024-08-01 08:33,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,교차로,Y,2025-12-01
86,2024-08-01 21:03,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,교차로,Y,2025-12-01
87,2024-08-01 03:07,부산광역시 사하구 하단동 528-6,35.10716628 ,128.96742845 ,보도(인도)위,Y,2025-12-01
88,2024-08-01 17:20,부산광역시 사하구 당리동 333,35.10078072 ,128.97673462 ,소방시설 주변,Y,2025-12-01
89,2024-08-01 20:29,부산광역시 사하구 하단동 870-27,35.10697801 ,128.96059535 ,교차로,Y,2025-12-01
90,2024-08-01 21:46,부산광역시 사하구 장림동 682-18,35.08278367 ,128.97104469 ,버스정류장 주변,Y,2025-12-01
91,2024-08-01 07:41,부산광역시 사하구 다대동 1638,35.05980733 ,128.96537354 ,횡단보도,Y,2025-12-01
92,2024-08-01 07:52,부산광역시 사하구 다대동 1639,35.05687713 ,128.96498799 ,교차로,Y,2025-12-01
93,2024-08-01 20:21,부산광역시 사하구 하단동 606,35.10350787 ,128.96248445 ,보도(인도)위,Y,2025-12-01
94,2024-08-01 12:09,부산광역시 사하구 하단동 483,35.11055691 ,128.96245971 ,교차로,Y,2025-12-01
95,2024-08-01 07:42,부산광역시 사하구 다대동 1638,35.05980733 ,128.96537354 ,횡단보도,Y,2025-12-01
96,2024-08-01 21:39,부산광역시 사하구 하단동 606,35.10350787 ,128.96248445 ,교차로,Y,2025-12-01
97,2024-08-01 20:27,부산광역시 사하구 하단동 606,35.10350787 ,128.96248445 ,횡단보도,Y,2025-12-01
98,2024-08-01 03:04,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
99,2024-08-01 18:45,부산광역시 사하구 다대동 1548-25,35.04904759 ,128.96431820 ,교차로,Y,2025-12-01
100,2024-08-01 15:14,부산광역시 사하구 다대동 681-3,35.05511131 ,128.97159094 ,보도(인도)위,Y,2025-12-01
101,2024-08-01 00:53,부산광역시 사하구 하단동 494-1,35.11346415 ,128.96618879 ,교차로,Y,2025-12-01
102,2024-08-01 20:52,부산광역시 사하구 신평동 146-27,35.09316495 ,128.97546460 ,교차로,Y,2025-12-01
103,2024-08-01 09:32,부산광역시 사하구 신평동 606-1,35.09790302 ,128.95919254 ,교차로,Y,2025-12-01
104,2024-08-01 07:59,부산광역시 사하구 다대동 1639,35.05687713 ,128.96498799 ,보도(인도)위,Y,2025-12-01
105,2024-08-02 05:46,부산광역시 사하구 하단동 526-17,35.10657836 ,128.96684472 ,보도(인도)위,Y,2025-12-01
106,2024-08-02 18:50,부산광역시 사하구 하단동 532,35.10806733 ,128.96803079 ,소방시설 주변,Y,2025-12-01
107,2024-08-02 05:28,부산광역시 사하구 당리동 322,35.10354630 ,128.97595956 ,교차로,Y,2025-12-01
108,2024-08-02 17:23,부산광역시 사하구 다대동 1551-31,35.05021066 ,128.96668774 ,교차로,Y,2025-12-01
109,2024-08-02 19:39,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
110,2024-08-02 16:08,부산광역시 사하구 구평동 505,35.08281787 ,128.98593347 ,횡단보도,Y,2025-12-01
111,2024-08-02 12:13,부산광역시 사하구 괴정동 1238-526,35.09951238 ,129.00083842 ,횡단보도,Y,2025-12-01
112,2024-08-02 21:23,부산광역시 사하구 다대동 1548-15,35.05067578 ,128.96527501 ,교차로,Y,2025-12-01
113,2024-08-02 05:27,부산광역시 사하구 당리동 422-11,35.10190282 ,128.97945435 ,교차로,Y,2025-12-01
114,2024-08-02 13:24,부산광역시 사하구 장림동 328-14,35.08115353 ,128.96767635 ,버스정류장 주변,Y,2025-12-01
115,2024-08-02 10:04,부산광역시 사하구 당리동 334,35.10259930 ,128.97447375 ,교차로,Y,2025-12-01
116,2024-08-02 16:36,부산광역시 사하구 괴정동 934-3,35.09973480 ,128.99190434 ,버스정류장 주변,Y,2025-12-01
117,2024-08-02 15:55,부산광역시 사하구 하단동 618-4,35.10504430 ,128.96897959 ,교차로,Y,2025-12-01
118,2024-08-02 20:19,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,횡단보도,Y,2025-12-01
119,2024-08-02 19:46,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
120,2024-08-02 21:12,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
121,2024-08-02 15:24,부산광역시 사하구 다대동 962,35.05777412 ,128.96923581 ,횡단보도,Y,2025-12-01
122,2024-08-02 00:23,부산광역시 사하구 하단동 612,35.10474765 ,128.96836274 ,소방시설 주변,Y,2025-12-01
123,2024-08-02 18:19,부산광역시 사하구 당리동 305-2,35.10572588 ,128.97017661 ,소방시설 주변,Y,2025-12-01
124,2024-08-02 15:58,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,교차로,Y,2025-12-01
125,2024-08-02 11:21,부산광역시 사하구 괴정동 971-6,35.10008183 ,128.99301207 ,보도(인도)위,Y,2025-12-01
126,2024-08-02 15:05,부산광역시 사하구 다대동 681-90,35.05504185 ,128.97136789 ,보도(인도)위,Y,2025-12-01
127,2024-08-02 22:52,부산광역시 사하구 하단동 617-1,35.10558098 ,128.96843487 ,교차로,Y,2025-12-01
128,2024-08-02 13:55,부산광역시 사하구 하단동 884,35.10776731 ,128.95916109 ,횡단보도,Y,2025-12-01
129,2024-08-02 22:14,부산광역시 사하구 하단동 504-18,35.11024258 ,128.96400014 ,횡단보도,Y,2025-12-01
130,2024-08-02 13:41,부산광역시 사하구 다대동 1548-39,35.04891578 ,128.96428853 ,보도(인도)위,Y,2025-12-01
131,2024-08-02 21:16,부산광역시 사하구 하단동 870-27,35.10697801 ,128.96059535 ,교차로,Y,2025-12-01
132,2024-08-02 20:22,부산광역시 사하구 구평동 98-1,35.08619986 ,128.98733439 ,보도(인도)위,Y,2025-12-01
133,2024-08-02 10:03,부산광역시 사하구 당리동 334,35.10259930 ,128.97447375 ,교차로,Y,2025-12-01
134,2024-08-02 18:20,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,소방시설 주변,Y,2025-12-01
135,2024-08-02 00:11,부산광역시 사하구 다대동 1638,35.05980733 ,128.96537354 ,횡단보도,Y,2025-12-01
136,2024-08-02 22:23,부산광역시 사하구 신평동 33-167,35.09125905 ,128.97817657 ,교차로,Y,2025-12-01
137,2024-08-02 16:01,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,교차로,Y,2025-12-01
138,2024-08-02 16:15,부산광역시 사하구 구평동 505,35.08281787 ,128.98593347 ,보도(인도)위,Y,2025-12-01
139,2024-08-02 22:40,부산광역시 사하구 당리동 313-44,35.10488322 ,128.97129362 ,교차로,Y,2025-12-01
140,2024-08-02 16:03,부산광역시 사하구 구평동 505,35.08281787 ,128.98593347 ,보도(인도)위,Y,2025-12-01
