관리번호,분류,데이터명,원본,발췌,단순집계,응용집계,시각화,기간,컬럼수,주요컬럼
SPN025,소비,신한카드 일별 카드소비(블록·업종)신한카드의 일별 블록·업종별 카드 소비 통계,X,X,X,O,O,201901~202312,8,격자ID / 기준일자 / 행정기관 코드 / 업종대분류 / 업종중분류 / 이용금액 / 이용건수 / 적재일자
SPN026,소비,신한카드 일별 가맹점기준 카드소비(행정동·성별·연령·시간대)신한카드의 일별 행정동 단위 가맹점기준 성별·연령,X,X,X,O,O,201901~202312,10,기준일자 / 행정기관 코드 / 업종대분류 / 업종중분류 / 성별코드 / 연령코드 / 시간코드 / 이용금액 / 이용건수 / 적재일자
SPN027,소비,신한카드 일별 거주자기준 카드소비(행정동)신한카드의 일별 행정동 단위 거주자 기준 카드 소비 통계,X,X,X,O,O,201901~202312,9,기준일자 / 행정기관 코드 / 업종대분류 / 업종중분류 / 성별코드 / 연령코드 / 이용금액 / 이용건수 / 적재일자
SPN028,소비,신한카드 일별 외국인 카드소비(행정동)신한카드의 일별 행정동 단위 외국인 카드 소비 통계,X,X,X,O,O,201901~202312,8,기준일자 / 행정기관 코드 / 업종대분류 / 업종중분류 / 국적코드 / 이용금액 / 이용건수 / 적재일자
SPN029,소비,신한카드 월별 전통시장 카드소비(시장·유입지) 신한카드의 월별 시장·유입지별 전통시장 카드 소비 통계,X,X,X,O,O,202301~202312,8,기준연월 / 전통시장코드 / 업종대분류 / 업종중분류 / 유입지시도 / 이용금액 / 이용건수 / 적재일자
SPN030,소비,신한카드 월별 가맹점 창·폐업 매출(행정동)신한카드의 월별 행정동 단위 가맹점 창·폐업 및 매출 현황,X,X,X,O,O,201901~202312,12,기준연월 / 행정기관 코드 / 업종대분류 / 업종중분류 / 업종소분류 / 사업자구분 / 이용금액 / 이용건수 / 신규점개수 / 가동점개수 / 폐업점개수 / 적재일자
SPN031,소비,신한카드 월별 배달앱 매출(행정동·업종)신한카드의 월별 행정동·업종별 배달앱 매출 통계,X,X,X,O,O,202201~202312,8,기준연월 / 행정기관 코드 / 업종대분류 / 업종중분류 / 업종소분류 / 이용금액 / 이용건수 / 적재일자
SPN032,소비,BC카드 월별 프랜차이즈 소비(행정동)BC카드의 월별 프랜차이즈 소비 데이터(행정동별),X,X,X,O,O,202201~202212,54,기준년월 / 프랜차이즈 명칭 / 광역시도 명칭 / 시군구 명칭 / 행정동 명칭 / 행정기관 코드 / 남성 이용건수 / 여성 이용건수 / 10대 미만 이용건수 / 10대 이용건수 / 20대 이용건수 / 30대 이용건수 / 40대 이용건수 / 50대 이용건수 / 60대 이용건수 / 70대 이상 이용건수 / 월 이용건수 / 화 이용건수 / 수 이용건수 / 목 이용건수
SPN033,소비,BC카드 프랜차이즈 업종 코드BC카드 프랜차이즈 업종 코드 데이터,X,X,X,O,O,2022~2022,5,업종코드 / 업종명 / 상세 업종명 / 기준년도 / 적재일자
SPN034,소비,외식업 소비(POS·신용카드 결합) POS·신용카드 결합 기반 외식업 소비 현황,X,X,X,O,O,202201~202212,16,결제 발생 시점의 월 정보 / 거래시간 / 가맹점 위치 시도 / 가맹점 위치 시군구 / 가맹점 위치 행정동 / 업종 분류체계 중 / 업종 분류체계 소 / 메뉴 분류체계 중 / 메뉴 분류체계 소 / 고객자택 시도 / 고객자택 시군구 / 성별 / 연령대 / 메뉴 가격 / 메뉴 수량 / 적재일자
SPN035,소비,롯데마트 POS 상품분류부산 롯데마트 POS 기준 상품분류 코드 정보,O,O,O,O,O,202201~202212,6,순번 / 대분류 / 중분류 / 소분류 / count / 적재일자
SPN036,소비,전통시장 코드전통시장 코드 목록,O,O,O,O,O,,1,적재일자
SPN037,소비,전통시장 기본정보전통시장 기본정보(좌표 포함),O,O,O,O,O,,8,시장 명칭 / 시장 유형 / 도로명 주소 / 구 주소 / 위도 / 경도 / 주소 / 적재일자
SPN038,소비,신한카드 업종분류 코드신한카드 업종 분류 코드,O,O,O,O,O,202301~202312,7,업종 대분류 코드 / 업종 대분류 코드명 / 업종 중분류 코드 / 업종 중분류 코드명 / 업종 소분류 코드 / 업종 소분류 코드명 / 적재일자
SPN039,소비,신한카드 일별 카드소비(블록·성별·연령)_2024 2024년 이후 신한카드의 일별 블록·성별·연령별 카드 소,X,X,X,O,O,202401~202503,8,기준일자 / 행정동코드 10자리(가맹점 소재지) / 50m격자 ID / 성별코드 / 연령코드 / 이용금액 / 이용건수 / 적재일자
SPN040,소비,신한카드 일별 카드소비(블록·시간대)_2024 2024년 이후 신한카드의 일별 블록·시간대별 카드 소비 통계,X,X,X,O,O,202401~202503,7,기준일자 / 행정동코드 10자리(가맹점 소재지) / 50m격자 ID / 시간코드 / 이용금액 / 이용건수 / 적재일자
SPN041,소비,신한카드 일별 카드소비(블록·유입지)_2024 2024년 이후 신한카드의 일별 블록·유입지별 카드 소비 통계,X,X,X,O,O,202401~202503,8,기준일자 / 행정동코드 10자리(가맹점 소재지) / 50m격자 ID / 유입지 광역시도 / 유입지 시군구 / 이용금액 / 이용건수 / 적재일자
SPN042,소비,신한카드 일별 카드소비(블록·업종)_2024 2024년 이후 신한카드의 일별 블록·업종별 카드 소비 통계,X,X,X,O,O,202401~202503,8,기준일자 / 행정동코드 10자리(가맹점 소재지) / 50m격자 ID / 카드사 업종 대분류 코드 / 카드사 업종 중분류 코드 / 이용금액 / 이용건수 / 적재일자
SPN043,소비,신한카드 일별 가맹점기준 카드소비(행정동·성별·연령·시간대)_2024 2024년 이후 신한카드의 일별 행정동,X,X,X,O,O,202401~202503,10,기준일자 / 행정동코드 10자리(가맹점 소재지) / 카드사 업종 대분류 코드 / 카드사 업종 중분류 코드 / 성별코드 / 연령코드 / 시간코드 / 이용금액 / 이용건수 / 적재일자
SPN044,소비,신한카드 일별 거주자기준 카드소비(행정동)_2024 2024년 이후 신한카드의 일별 행정동 단위 거주자 기준,X,X,X,O,O,202401~202503,9,기준일자 / 거주자 행정동코드 10자리 / 카드사 업종 대분류 코드 / 카드사 업종 중분류 코드 / 성별코드 / 연령코드 / 이용금액 / 이용건수 / 적재일자
SPN045,소비,신한카드 일별 외국인 카드소비(행정동)_2024 2024년 이후 신한카드의 일별 행정동 단위 외국인 카드 소,X,X,X,O,O,202401~202503,8,기준일자 / 행정동코드 10자리(가맹점 소재지) / 카드사 업종 대분류 코드 / 카드사 업종 중분류 코드 / 국적코드 / 이용금액 / 이용건수 / 적재일자
SPN046,소비,신한카드 월별 전통시장 카드소비(시장·유입지)_2024 2024년 이후 신한카드의 월별 시장·유입지별 전통시,X,X,X,O,O,202401~202503,8,기준연월 / 전통시장코드 / 카드사 업종 대분류 코드 / 카드사 업종 중분류 코드 / 유입지 광역시도 / 이용금액 / 이용건수 / 적재일자
SPN047,소비,신한카드 월별 가맹점 창·폐업 매출(행정동)_2024 2024년 이후 신한카드의 월별 행정동 단위 가맹점 창,X,X,X,O,O,202401~202503,12,기준연월 / 행정동코드 10자리(가맹점 소재지) / 카드사 업종 대분류 코드 / 카드사 업종 중분류 코드 / 카드사 업종 소분류 코드 / 사업자구분(개인/법인) / 이용금액 / 이용건수 / 당월 신규 가맹점 개수 / 당월 가동 가맹점 개수 / 당월 폐업 가맹점 개수 / 적재일자
SPN048,소비,신한카드 월별 배달앱 매출(행정동·업종)_2024 2024년 이후 신한카드의 월별 행정동·업종별 배달앱 매출,X,X,X,O,O,202401~202503,8,기준연월 / 행정동코드 10자리(가맹점 소재지) / 카드사 업종 대분류 코드 / 카드사 업종 중분류 코드 / 카드사 업종 소분류 코드 / 이용금액 / 이용건수 / 적재일자
SPN049,소비,신한카드 업종분류 코드(2024이후) 2024년 이후 신한카드 업종 분류 코드,O,O,O,O,O,202401~202412,9,업종 대분류 코드 / 업종 대분류 코드명 / 업종 중분류 코드 / 업종 중분류 코드명 / 업종 소분류 코드 / 업종 소분류 코드명 / 표준산업분류 코드 / 표준산업분류 코드명 / 적재일자
SPN050,소비,신한카드 국적 코드(2024이후) 2024년 이후 신한카드 국적 코드,O,O,O,O,O,202401~202412,3,국적코드 / 국적명 / 적재일자
SPN051,소비,신한카드 시군구 코드(2024이후) 2024년 이후 신한카드 시군구 코드,O,O,O,O,O,202401~202412,5,시군구코드 / 시도명 / 시군구명 / 구군명 / 적재일자
SPN052,소비,신한카드 읍면동 코드(2024이후) 2024년 이후 신한카드 읍면동 코드,O,O,O,O,O,202401~202412,6,읍면동코드 / 시도명 / 시군구명 / 구군명 / 읍면동명 / 적재일자
SPN053,소비,신한카드 전통시장현황 2024년 이후 신한카드 전통시장 현황 데이터,O,O,O,O,O,202401~202412,23,시장코드 / 시장명 / 소재지(구군) / 소재지(도로명) / 주 판매상품 / 개설년도 / 등록인정일 / 등록인정유무 / 용도지역 / 전체점포수 / 직영점포수 / 임차점포수 / 빈점포수 / 종사자수 / 고객지원센터수 / 고객쉼터수 / 아케이드구간수 / 기타편의시설수 / 주차장수 / 주차면수
SPN054,소비,신한카드 연령 코드(2024이후) 2024년 이후 신한카드 연령 코드,O,O,O,O,O,202401~202412,3,연령코드 / 연령구분 / 적재일자
SPN055,소비,신한카드 월별 가맹점기준 매출(행정동·업종소분류)_2024 2024년 이후 신한카드의 월별 행정동 단위 가맹,X,X,X,O,O,202401~202503,8,기준연월 / 행정동코드 10자리(가맹점 소재지) / 카드사 업종 대분류 코드 / 카드사 업종 중분류 코드 / 카드사 업종 소분류 코드 / 이용금액 / 이용건수 / 적재일자
SPN056,소비,신한카드 일별 카드소비(개인/법인·행정동)_2024 2024년 이후 신한카드의 일별 개인·법인별 행정동 단위,X,X,X,O,O,202401~202503,6,"기준일자 / 행정동코드 10자리(가맹점 소재지) / 개인,법인 코드 / 이용금액 / 이용건수 / 적재일자"
SPN057,소비,부산광역시 행정동·행정기관·행정구역 코드 매핑(2023),O,O,O,O,O,202307~202307,9,시도 / 시군구 / 행정구역명 / 행정기관명 / 행정구역코드 / 행정기관코드(10자리) / 행정기관코드(8자리) / 기준년월 / 적재일자
SPN058,소비,전통시장별 지역화폐 거래 통계전통시장별 지역화폐 거래 통계 데이터,O,O,O,O,O,202201~202309,13,기준일자 / 기준시간 / 전통시장명 / 전통시장 주소 / 카드사명칭 / BC카드사 기준 가맹정 업종 코드 / BC카드사 기준 가맹정 업종 명칭 / 생년 / 성별 / 거래횟수 / 총거래금액 / 적재일시 / 센터코드
SPN059,소비,행정동단위 지역화폐 거래 통계행정동 단위 업종별 지역화폐 거래 통계 데이터,O,O,O,O,O,202201~202309,15,기준일자 / 기준시간 / 시도명 / 시군구명 / 행정동명 / 행정구역 코드 / 카드사명칭 / BC카드사 기준 가맹정 업종 코드 / BC카드사 기준 가맹정 업종 명칭 / 생년 / 성별 / 거래횟수 / 총거래금액 / 적재일시 / 센터코드
SPN060,소비,집계구단위 지역화폐 거래 통계집계구 단위 업종별 지역화폐 거래 통계 데이터,O,O,O,O,O,202201~202309,17,기준일자 / 기준시간 / 시도명 / 시군구명 / 행정동명 / 집계구코드 / 집계구 x좌표 / 집계구 y좌표 / 카드사명칭 / BC카드사 기준 가맹정 업종 코드 / BC카드사 기준 가맹정 업종 명칭 / 생년 / 성별 / 거래횟수 / 총거래금액 / 적재일시 / 센터코드
SPN061,소비,시간별 행정동별 업종별 성별 연령별 신용카드 사용신한카드 시간별 행정동별 업종별 성별 연령별 신용카드 매출 ,X,X,X,O,O,201901~202205,9,기준년월일 / 행정기관 코드 / 업종구분_대분류 / 업종구분_중분류 / 성별_코드 / 연령대_코드 / 시간대_코드 / 시스템_최종적재_일시 / 기준년월
SPN062,소비,성연령별 카드소비 데이터(50m격자)BC카드 성연령별 카드소비 데이터(50m격자),X,X,X,O,O,202301~202603,7,기준일자 / 행정동코드 / 50m격자ID / 성별 / 연령코드 / 이용금액 / 이용건수
SPN063,소비,성연령별 카드소비 데이터(250m격자)BC카드 성연령별 카드소비 데이터(250m격자),X,X,X,O,O,202301~202603,7,기준일자 / 행정동코드 / 250m격자ID / 성별 / 연령코드 / 이용금액 / 이용건수
SPN064,소비,행정동별 성연령별 카드소비 데이터BC카드 행정동별 성연령별 카드소비 데이터,X,X,X,O,O,202301~202606,6,기준일자 / 행정동코드 / 성별 / 연령코드 / 이용금액 / 이용건수
SPN065,소비,시간대별 카드소비 데이터(50m격자)BC카드 시간대별 카드소비 데이터(50m격자),X,X,X,O,O,202301~202603,6,카드소비일자 / 행정동코드(가맹점소재지) / 50m격자ID / 시간코드 / 카드소비 이용금액 / 카드소비 이용건수
SPN066,소비,시간대별 카드소비 데이터(250m격자)BC카드 시간대별 카드소비 데이터(250m격자),X,X,X,O,O,202301~202603,6,카드소비일자 / 행정동코드(가맹점 소재) / 250m 격자ID / 시간코드 / 카드소비 이용금액 / 카드소비 이용건수
SPN067,소비,행정동별 시간대별 카드소비 데이터BC카드 행정동별 시간대별 카드소비 데이터,X,X,X,O,O,202301~202606,5,카드소비일자 / 행정동코드(가맹점 소재지) / 시간코드 / 카드소비 이용금액 / 카드소비 이용건수
SPN068,소비,행정동별 성연령별-시단대별 카드소비 데이터BC카드 행정동별 성연령별-시단대별 카드소비 데이터,X,X,X,O,O,202301~202606,9,"기준일자 / 행정동코드(가맹점 소재지,10자리) / 업종대분류 / 업종중분류 / 성별 / 연령코드 / 시간코드 / 이용금액 / 이용건수"
SPN069,소비,업종별 카드소비 데이터(50m격자)BC카드 업종별 카드소비 데이터(50m격자),X,X,X,O,O,202301~202603,7,"기준일자 / 행정동코드(가맹점 소재지,10자리) / 50m 격자ID / 카드사 업종대분류 / 카드사 업종중분류 / 이용금액 / 이용건수"
SPN070,소비,업종별 카드소비 데이터(250m격자)BC카드 업종별 카드소비 데이터(250m격자),X,X,X,O,O,202301~202603,7,"기준일자 / 행정동코드(가맹점 소재지,10자리) / 250m격자 격자ID / 업종대분류 / 업종중분류 / 이용금액 / 이용건수"
SPN071,소비,행정동별 업종별 카드소비 데이터BC카드 행정동별 업종별 카드소비 데이터,X,X,X,O,O,202301~202606,5,기준일자 / 업종대분류 / 업종중분류 / 이용금액 / 이용건수
SPN072,소비,고객(부산지역민) 기준 카드소비 패턴 데이터BC카드 고객(부산지역민) 기준 카드소비 패턴 데이터,X,X,X,O,O,202301~202606,7,기준일자 / 업종 대분류 코드 / 업종 중분류 코드 / 성별 / 연령코드 / 이용금액 / 이용건수
SPN073,소비,유입지별 성연령별 카드소비 데이터(50m격자)BC카드 유입지별 성연령별 카드소비 데이터(50m격자),X,X,X,O,O,202301~202603,11,"기준일자 / 행정동코드(가맹점소재지,10자리) / 50m격자ID / 유입지시도 / 유입지시군구 / 성별 / 연령코드 / 업종대분류 / 업종중분류 / 이용금액 / 이용건수"
SPN074,소비,유입지별 성연령별카드소비 데이터(250m격자)BC카드 유입지별 성연령별카드소비 데이터(250m격자),X,X,X,O,O,202301~202603,11,기준일자 / 행정동코드(가맹점 소재지) / 250m격자ID / 유입지시도 / 유입지시군구 / 성별 / 연령코드 / 업종대분류 / 업종중분류 / 이용금액 / 이용건수
SPN075,소비,행정동별 유입지별 성연령별 카드소비 데이터BC카드 행정동별 유입지별 성연령별 카드소비 데이터,X,X,X,O,O,202301~202606,10,기준일자 / 행정동코드(가맹점 소재지) / 유입지시도 / 유입지시군구 / 성별 / 연령코드 / 업종대분류 / 업종중분류 / 이용금액 / 이용건수
SPN076,소비,행정동별 외국인 국적별 카드소비 데이터BC카드 행정동별 외국인 국적별 카드소비 데이터,X,X,X,O,O,202301~202606,5,기준일자 / 행정동코드(가맹점 소재지) / 국적코드 / 이용금액 / 이용건수
SPN077,소비,행정동별 외국인 국적별 업종별 카드소비 데이터BC카드 행정동별 외국인 국적별 업종별 카드소비 데이터,X,X,X,O,O,202301~202606,8,기준일자 / 행정동코드(가맹점 소재지) / 시간코드 / 국적코드 / 업종대분류 / 업종중분류 / 이용금액 / 이용건수
SPN078,소비,행정동별 성연령별 청년 카드소비 데이터BC카드 행정동별 성연령별 청년 카드소비 데이터,X,X,X,O,O,202301~202606,6,기준일자 / 행정동코드(부산지역민 거주지) / 성별 / 청년 연령 코드 / 이용금액 / 이용건수
SPN079,소비,행정동별 시간대별 연령별 청년 카드소비 데이터BC카드 행정동별 시간대별 연령별 청년 카드소비 데이터,X,X,X,O,O,202301~202606,5,카드소비일자 / 행정동코드(부산지역민 거주지) / 시간코드 / 카드소비 이용금액 / 카드소비 이용건수
SPN080,소비,행정동별 업종별 연령별 청년 카드소비 데이터BC카드 행정동별 업종별 연령별 청년 카드소비 데이터,X,X,X,O,O,202301~202606,7,기준일자 / 행정동코드(부산지역민 거주지) / 업종 대분류 코드 / 업종 중분류 코드 / 청년 연령 코드 / 이용금액 / 이용건수
SPN081,소비,전통시장별 카드소비 데이터BC카드 전통시장별 카드소비 데이터,X,X,X,O,O,202301~202606,7,기준연월 / 전통시장코드 / 업종대분류 / 업종중분류 / 유입지시도 / 이용금액 / 이용건수
SPN082,소비,행정동별 가맹점 창폐업 카드소비 데이터BC카드 행정동별 가맹점 창폐업 카드소비 데이터,X,X,X,O,O,202301~202606,11,기준연월 / 행정동코드 / 업종대분류 / 업종중분류 / 업종소분류 / 사업자구분(개인/법인) / 이용금액 / 이용건수 / 당월 신규 가맹점개수 / 당월 가동 가맹점개수 / 당월 폐업 가맹점개수
SPN083,소비,관광지 성별 카드소비 데이터BC카드 관광지 성별 카드소비 데이터,X,X,X,O,O,202301~202606,9,기준연월 / 관광지코드 / 관광지명칭 / 업종대분류 / 업종중분류 / 업종소분류 / 성별 / 매출금액 / 매출건수
SPN084,소비,관광지 연령별 카드소비 데이터BC카드 관광지 연령별 카드소비 데이터,X,X,X,O,O,202301~202606,9,기준연월 / 관광지코드 / 관광지명칭 / 업종대분류 / 업종중분류 / 업종소분류 / 연령코드 / 매출금액 / 매출건수
SPN085,소비,관광지 유입지별 카드소비 데이터BC카드 관광지 유입지별 카드소비 데이터,X,X,X,O,O,202301~202606,10,기준연월 / 관광지코드 / 관광지명칭 / 업종대분류 / 업종중분류 / 업종소분류 / 유입지시도 / 유입지시군구 / 매출금액 / 매출건수
SPN086,소비,관광지 국적별 외국인 카드소비 데이터BC카드 관광지 국적별 외국인 카드소비 데이터,X,X,X,O,O,202301~202606,9,기준연월 / 관광지코드 / 관광지명칭 / 업종대분류 / 업종중분류 / 업종소분류 / 국적코드 / 매출금액 / 매출건수
SPN087,소비,배달앱 데이터 (월테이블) BC카드 배달앱 데이터 (월테이블),X,X,X,O,O,202301~202606,7,기준연월 / 행정동코드(가맹점소재지) / 업종대분류 / 업종중분류 / 업종소분류 / 이용금액 / 이용건수
SPN088,소비,사업장_카드매출KCD 사업장_카드매출,X,X,X,O,O,202306~202604,7,기준일자 / 행정동코드 / KCD_대업종_코드 / KCD_중업종_코드 / 시간코드 / 카드 매출 금액 / 카드 매출 건수
SPN089,소비,사업장_현금매출KCD 사업장_현금매출,X,X,X,O,O,202306~202604,8,기준일자 / 행정동 코드 / KCD_대업종_코드 / KCD_중업종_코드 / 현금영수증 매출 금액 / 현금영수증 매출 건수 / 세금계산서 매출 금액 / 세금계산서 매출 건수
SPN090,소비,사업장_매입KCD 사업장_매입,X,X,X,O,O,202306~202604,8,기준일자 / 행정동코드(10자리) / KCD_대업종_코드 / KCD_중업종_코드 / 현금영수증 매입 금액 / 현금영수증 매입 건수 / 세금계산서 매입 금액 / 세금계산서 매입 건수
SPN091,소비,사업장_메뉴KCD 사업장_메뉴,X,X,X,O,O,202306~202604,11,기준일자 / 행정동코드(10자리) / KCD_대업종_코드 / KCD_중업종_코드 / 표준 메뉴명 / 메뉴 대분류 / 메뉴 중분류 / 메뉴 소분류 / 메뉴 가격 / 메뉴 판매금액 / 메뉴 판매건수
SPN092,소비,소비통계NICE 평가정보 소비통계,X,X,X,O,O,202306~202601,32,기준연월 / 구분명 / 시도코드 / 시도명 / 시군구코드 / 시군구명 / 행정동코드 / 행정동명 / 성별 / 연령구간대 / 직업구분 / 분위코드 / 해당 행정동 기준 주민수 / 보유자수_신용카드 / 보유자수_체크카드 / 보유자수_카드 / 이용자수_신용카드 / 이용자수_체크카드 / 이용자수_카드 / 카드총이용금액합계
SPN093,소비,BC카드사 업종 분류 코드BC카드사 업종 분류 코드,O,O,O,O,O,2025~2025,6,업종 대분류 코드 / 업종 대분류 코드명 / 업종 중분류 코드 / 업종 중분류 코드명 / 업종 소분류 코드 / 업종 소분류 코드명
SPN094,소비,KCD 업종 분류KCD 업종 분류,O,O,O,O,O,2025~2025,4,대업종 코드 / 대업종 코드명 / 중업종 코드 / 중업종 코드명
CRD001,금융,NICE 유입 인구 특성(행정동·부산)NICE 기준 부산 행정동별 유입 인구 특성 통계,X,X,X,O,O,202204~202204,15,기준년월 / 이전 거주지 시도코드 / 이전 거주지 시군구코드 / 기준시점 거주지 시군구코드 / 기준시점 거주지 행정기관 코드 / 성별 / 연령대구간 / 집계인구수 / 급여소득자수 / 자영업자수 / 월환산 평균소득 / 월환산 중위소득 / 일평균 카드 소비금액 / 경제활동 인구수 / 적재일자
CRD002,금융,NICE 법정동(기준년월별)NICE 기준 법정동 코드 (기준년월별),X,X,X,O,O,202204~202204,8,일련번호 / 기준년월 / 시도 이름 / 시군구코드 / 시군구 이름 / 행정기관 코드 / 행정동이름 / 적재일자
CRD003,금융,NICE 코드마스터NICE 코드 마스터 데이터,X,X,X,O,O,202204~202204,8,코드구분 / 코드 / 코드구분 이름 / 코드 이름 / 코드 설명 / 사용여부 / 기준년도 / 적재일자
CRD004,금융,NICE 거주 특성 지표(행정동·부산)NICE 기준 부산 행정동별 거주 특성 지표 통계,X,X,X,O,O,202204~202204,46,기준년월 / 행정기관 코드 / 성별구분코드 / 연령대구분코드 / 해당 행정동 기준 주민수 / 급여소득자 수 / 대기업 종사자 수 / 중소기업 종사자 수 / 공기업 종사자 수 / 전문직 종사자 수 / 자영업 종사자 수 / 무직 주부 학생 수 / 정보없음 수 / 전문 자영업자 종사자 수 / 기업 및 대표자 수 / 평균 연소득 / 연소득 2천만원이하 주민수 / 연소득 7천만원초과 주민수 / 연소득 중위값 / 공동주택기준 20평형대 거주 주민수
CRD005,금융,부산은행 고객자산현황(시군구·성별·연령대·월) 부산은행 월별 고객 자산 현황 데이터(시군구·성별·연령대별),X,X,O,O,O,202406~202406,6,기준년월 / 고객번호 / 시군구명 / 성별 / 연령대 / 적재일자
CRD006,금융,기업 기본정보 코드기업 본점/마스터 기준 기본 정보,X,X,X,O,O,202211~202312,33,업체코드 / 사업자번호 / 법인번호 / 기업상태구분코드 / 기업주체구분코드 / 기업규모구분코드 / 기업상세구분코드 / 상장시장구분코드 / 관리종목여부 / 외부감사여부 / 기업존속여부 / 재무구분코드 / 결산월 / 창업일 / 설립일 / 종업원기준일 / 종업원수 / 한글업체명 / 영문업체명 / 약식업체명
CRD007,금융,기업 사업장 기본정보 코드기업 지점(사업장) 위치 기본 정보,X,X,X,O,O,202211~202312,21,업체코드 / 일련번호 / 사업자번호 / 사업장구분코드 / 한글사업장명칭 / 영문사업장명칭 / 전화번호 / 팩스번호 / 우편번호 / 한글사업장주소 / 영문사업장주소 / 개업일자 / 업종명 / 업태명 / 폐업구분코드 / 폐업일자 / 우편번호(지번주소) / 지번주소 / 경도 / 위도
CRD008,금융,기업 재무지표결산·항목별 기업 재무 지표 현황,X,X,X,O,O,202211~202312,9,업체코드 / 결산구분 / 기준일자 / 보고서코드 / 항목코드(매출액) / 금액(천원) / 구성비(%) / 증감율(%) / 적재일자
CRD009,금융,부가가치세 매입·매출 거래요약부가가치세 매입·매출 거래 내역 요약,X,X,X,O,O,202211~202312,9,사업자번호 / 거래기간시작일 / 거래기간종료일 / 자료구분 / 일련번호 / 기간개월수 / 거래자사업자번호 / 거래자상호 / 적재일자
CRD012,금융,개인신용 부산유입 인구 통계개인신용 부산 유입 인구 통계,X,X,X,O,O,201912~202012,12,구분코드 / 기준년월 / 이전_거주지_시도코드 / 이전_거주지_시군구코드 / 기준시점_거주지_시군구코드 / 기준시점_거주지_행정기관코드 / 성별 / 연령대구간 / 월환산_평균소득 / 월환산_중위소득 / 일평균_카드_소비금액 / 시스템_최종적재_일시
CRD015,금융,개인신용 KCB 동별 코드개인신용_KCB_동별_코드,X,X,X,O,O,2020~2020,4,행정동 구분코드 / 행정동_코드 / 행정동_이름 / 기준년도
CRD016,금융,개인신용 KCB 지역 코드개인신용_KCB_지역_코드,X,X,X,O,O,2020~2020,9,일련번호 / 집계구 구분코드 / 시도_코드 / 시도_이름 / 시군구_코드 / 시군구_이름 / 행정동_코드 / 행정동_이름 / 기준년도
CRD018,금융,개인신용 KCB 일반 코드개인신용_KCB_일반_코드,X,X,X,O,O,2020~2020,7,코드_구분 / 코드 / 코드_구분_이름 / 코드_이름 / 코드_설명 / 사용여부 / 기준년도
CRD019,금융,개인신용 KCB 분기별 동별 코드개인신용_KCB_분기별_동별_코드,X,X,X,O,O,202003~202006,7,일련번호 / 기준년월 / 시도_이름 / 시군구_코드 / 시군구_이름 / 행정동_코드 / 행정동_이름
CRD020,금융,소득통계,X,X,X,O,O,202306~202606,18,자료귀속기준년월 / 구분명 / 시도코드 / 시도명 / 시군구코드 / 시군구명 / 행정동명(통계청 행정구역명 기준) / 성별 / 연령구간대 / 직업구분 / 금융기관 / 분위코드 / 최저 연소득 금액 / 최대 연소득 금액 / 거주자수 / 평균 연소득 / 중위 연소득 금액 / 총 연소득 합계
CRD021,금융,대출 및 연체,X,X,X,O,O,202306~202601,23,자료귀속기준년월 / 구분명 / 시도코드 / 시도명 / 시군구코드 / 시군구명 / 행정동명(통계청 행정구역명 기준) / 성별 / 연령구간대 / 직업구분 / 금융기관 / 분위코드 / 총대출_보유계좌수 / 해당 행정동 기준 주민수 / 유효대출계좌_대상자수 / 대출잔액_보유대상자수 / 일시불상환_대출보유대상자수 / 분할상환_대출보유대상자수 / 한도대출_보유대상자수 / 기타대출_보유대상자수
CRD022,금융,기업거래 : 기업정보KODATA 기업거래 : 기업정보,X,X,X,O,O,202301~202606,12,기준연월 / 업체코드 / 변환업체코드 / 사업자번호 / 법인번호 / 기업주체코드 / 기업규모코드 / 창업일 / 설립일 / 직원수 / 업체명 / 산업코드ID
CRD023,금융,기업거래 : 사업장정보KODATA 기업거래 : 사업장정보,X,X,X,O,O,202301~202606,12,기준연월 / 업체코드 / 변환업체코드 / 사업장구분코드 / 한글사업장명 / 한글사업장주소 / 경도 / 위도 / 업종명 / 업태명 / 폐업구분코드 / 폐업일자
CRD024,금융,기업거래 : 재무정보KODATA 기업거래 : 재무정보,X,X,X,O,O,202301~202606,9,기준연월 / 업체코드 / 변환업체코드 / 결산일자 / 보고서코드 / 항목코드(매출액) / 금액(천원) / 구성비(%) / 증감율(%)
CRD025,금융,기업거래 : 매출매입KODATA 기업거래 : 매출매입,X,X,X,O,O,202301~202606,8,기준연월 / 사업자번호 / 거래시작일 / 거래종료일 / 자료구분 / 거래자사업자번호 / 가액비중 / 세액비중
CRD026,금융,전입 전출 기업 목록KODATA 전입 전출 기업 목록,X,X,X,O,O,202301~202606,18,기준연월 / 사업자번호 / 법인번호 / 변환업체코드 / 전입전출구분코드 / 전출 행정동 코드 / 전입 행정동 코드 / 전 시도 / 전 시군구 / 전 행정동 / 후 시도 / 후 시군구 / 후 행정동 / 업종대분류코드 / 업종대분류명 / 업종중분류코드 / 업종중분류명 / 기업규모코드
