관리번호,분류,데이터명,원본,발췌,단순집계,응용집계,시각화,기간,컬럼수,주요컬럼
REL029,부동산,물류창고 위치데이터창고 정보(2024-08-19) 데이터,X,X,X,X,X,202408~202408,9,상호명 / 사업자번호 / 소재지 / 일반창고면적(m²) / 냉동냉장창고면적(m²) / 보관장소면적(m²) / 타법률창고면적(m²) / 관련법률 / 취급품목
REL030,부동산,"부산시 250m 격자표준 격자 참조 테이블(격자 아이디 관리, 공간 분석 및 통계 산출 기준 격자)",X,X,X,X,X,202404~202404,1,격자 아이디
REL031,부동산,부산시 생산가능인구 데이터부산 생산가능인구 데이터,X,X,X,X,X,202204~202404,4,격자 아이디 / 생산가능인구수 / 생산가능인구수 / 연월
REL032,부동산,부산시 월별 생활인구부산시 월별 생활인구,X,X,X,X,X,202204~202404,6,격자 아이디 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수
REL033,부동산,부산시 월별 생활인구(보간법 적용) 부산시 월별 생활인구(보간법 적용),X,X,X,X,X,202204~202404,26,격자 아이디 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수 / 월별 생활인구수
REL034,부동산,부산시 월별 생활인구(LSTM 적용) 부산시 월별 생활인구(LSTM 적용),X,X,X,X,X,202208~202412,1,격자 아이디
REL035,부동산,부산시 공시지가 데이터부산시 공시지가 데이터,X,X,X,X,X,202208~202412,1,격자 아이디
REL036,부동산,부산시 월별 공시지가부산시 월별 공시지가,X,X,X,X,X,202208~202401,7,격자 아이디 / 2022 08 공시지가 / 2023 03 공시지가 / 2023 08 공시지가 / 2023 09 공시지가 / 2023 12 공시지가 / 2024 01 공시지가
REL037,부동산,부산시 월별 생활인구(보간법 적용) 부산시 월별 생활인구(보간법 적용),X,X,X,X,X,202208~202404,22,격자 아이디 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가
REL038,부동산,부산시 월별 생활인구(LSTM 적용) 월별 및 예측 공시지가 데이터,X,X,X,X,X,202208~202412,30,격자 아이디 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가 / 월별 공시지가
REL039,부동산,부산시 용도지역 데이터부산시 용도지역 데이터,X,X,X,X,X,202407~202411,27,도형ID / 고유번호 / 법정동코드 / 법정동명 / 대장구분코드 / 대장구분명 / 지번 / 지번지목부호 / 기준연도 / 기준월 / 지목코드 / 지목명 / 토지면적(㎡) / 용도지역코드1 / 용도지역명1 / 용도지역코드2 / 용도지역명2 / 토지이용상황코드 / 토지이용상황명 / 지형높이코드
REL040,부동산,부산시 물류창고 가능입지 필터링 용도지역 데이터부산시 물류창고 가능입지 필터링 용도지역 데이터,X,X,X,X,X,202407~202407,27,도형ID / 고유번호 / 법정동코드 / 법정동명 / 대장구분코드 / 대장구분명 / 지번 / 지번지목부호 / 기준연도 / 기준월 / 지목코드 / 지목명 / 토지면적(㎡) / 용도지역코드1 / 용도지역명1 / 용도지역코드2 / 용도지역명2 / 토지이용상황코드 / 토지이용상황명 / 지형높이코드
REL041,부동산,용도지역 정보(250M 격자 적용) 건축물 유형 데이터,X,X,X,X,X,202407~202407,2,격자 아이디 / 용도지역명
REL042,부동산,철도 위치 공간 데이터철도 위치 공간 데이터,X,X,X,X,X,202404~202404,5,지역본부 / 역명 / 위도 / 경도 / 출입구 개수
